,0_0,0_1,0_2,0_3,0_4,0_5,0_6,1_0,1_1,1_2,1_3,1_4,2_0,2_1,2_2,2_3,2_4,3_0,3_1,3_2,3_3,3_4,3_5,4_0,4_1,4_2,4_3,5_0,5_1,5_2,5_3,5_4,6_0,6_1,6_2,6_3,6_4,6_5,7_0,7_1,7_2,7_3,8_0,8_1,8_2,9_0,9_1,9_2,10_0,10_1,10_2,10_3,11_0,11_1,11_2,12_0,12_1,12_2,12_3,12_4,12_5,13_0,13_1,13_2,14_0,14_1,14_2,14_3,14_4,14_5,14_6,15_0,15_1,15_2,15_3,16_0,16_1,16_2,17_0,17_1,17_2,18_0,18_1,18_2,19_0,19_1,19_2,19_3,19_4,20_0,20_1,20_2,21_0,21_1,21_2,21_3,21_4,21_5,22_0,22_1,22_2,23_0,23_1,23_2,24_0,24_1,24_2,24_3,24_4,24_5,24_6,25_0,25_1,25_2,25_3,26_0,26_1,26_2,26_3,27_0,27_1,27_2,28_0,28_1,28_2,28_3,28_4,29_0,29_1,29_2,29_3,29_4,30_0,30_1,30_2,30_3,30_4,31_0,31_1,31_2,31_3,31_4,31_5,31_6,32_0,32_1,32_2,32_3,32_4,32_5,33_0,33_1,33_2,33_3,33_4,34_0,34_1,34_2,34_3,34_4,35_0,35_1,35_2,35_3,35_4,36_0,36_1,36_2,36_3,37_0,37_1,37_2,37_3,37_4,37_5,38_0,38_1,38_2,39_0,39_1,39_2,40_0,40_1,40_2,40_3,40_4,41_0,41_1,41_2,41_3,41_4,41_5,42_0,42_1,42_2,43_0,43_1,43_2,44_0,44_1,44_2,44_3,44_4,44_5,45_0,45_1,45_2,46_0,46_1,46_2,47_0,47_1,47_2,47_3,48_0,48_1,48_2,48_3,48_4,49_0,49_1,49_2
0_0,-1,-1,-1,-1,-1,-1,-1,5,2,3,1,1,8,7,3,9,9,3,2,3,8,7,7,3,2,6,7,4,5,3,2,7,1,3,7,4,8,6,3,7,7,2,1,2,4,4,2,4,5,4,6,7,9,6,6,9,5,6,1,4,2,7,9,7,4,5,6,9,3,4,3,2,2,9,7,4,3,3,5,8,3,5,5,2,6,4,8,5,3,1,3,3,7,9,2,2,2,1,2,8,1,7,6,9,6,7,9,2,5,6,1,6,7,2,2,4,2,7,1,8,7,5,3,4,7,7,3,2,8,9,9,5,3,9,1,4,1,6,8,8,5,9,3,6,2,8,8,2,6,1,8,9,5,6,3,1,9,7,6,4,9,1,8,3,9,8,7,1,6,3,7,9,5,1,4,5,2,9,3,9,9,8,4,7,4,8,8,3,8,9,5,4,1,3,6,5,3,8,4,8,4,2,5,6,4,3,2,4,5,5,7,4,8,5,1,1,1,1,5,6,6,3
0_1,1,-1,-1,-1,-1,-1,-1,8,2,1,8,7,8,1,5,9,6,3,6,5,2,1,3,6,5,3,8,4,6,7,5,9,1,1,3,7,2,6,6,3,4,4,4,9,6,6,2,9,8,8,2,1,5,7,1,4,4,5,2,1,5,7,9,3,2,3,2,1,2,7,5,5,6,4,7,1,3,1,8,8,2,5,9,1,4,5,7,2,4,4,3,5,5,5,6,9,4,7,6,4,4,8,1,8,5,1,6,4,7,8,1,4,3,1,8,1,8,3,1,3,7,1,9,4,4,7,7,7,5,3,6,5,3,1,2,6,6,9,5,1,7,2,2,4,1,4,2,4,2,5,8,7,5,6,7,1,5,4,8,1,1,9,4,7,6,8,4,3,9,2,4,9,4,6,2,3,7,4,3,6,4,6,2,2,6,9,4,3,3,5,8,9,9,6,6,4,8,7,1,9,6,6,4,9,8,5,8,2,4,6,9,6,9,8,4,6,7,6,4,3,4,2
0_2,-1,7,-1,4,-1,-1,-1,8,8,6,3,2,8,6,1,4,8,2,1,9,2,8,8,7,1,6,6,7,6,4,4,9,4,4,4,7,5,3,6,2,9,9,6,9,4,1,7,4,2,8,9,4,8,7,8,7,7,8,9,6,7,4,8,3,8,9,3,4,2,9,2,1,1,6,2,6,1,4,9,1,9,5,7,1,2,8,3,7,4,5,5,6,1,1,9,7,7,5,9,1,8,6,7,4,1,5,3,2,8,2,1,3,8,9,9,1,7,6,5,8,5,1,7,5,7,5,1,3,9,8,9,7,5,5,9,5,6,4,5,3,3,8,6,3,2,5,5,2,9,3,6,9,3,5,7,2,3,7,3,1,1,7,7,3,4,3,1,7,2,5,5,3,6,3,4,3,4,9,3,5,8,4,4,4,7,3,6,9,8,4,4,8,3,3,1,8,1,6,5,9,7,5,2,7,6,9,8,5,3,3,1,2,5,5,4,1,6,9,9,8,3,6
0_3,-1,2,6,-1,-1,-1,-1,3,2,3,7,8,5,7,2,6,8,6,5,9,3,7,2,9,8,2,2,2,8,9,4,6,2,2,1,8,7,3,7,5,2,1,5,5,8,1,1,8,1,7,5,7,8,7,7,7,1,8,6,3,3,5,1,5,8,4,9,7,7,6,3,7,7,6,1,3,2,7,2,5,3,2,6,3,2,6,3,7,7,3,1,5,6,8,4,7,6,6,3,1,6,2,4,1,8,2,4,7,6,7,7,2,6,5,8,7,4,3,4,7,6,8,8,7,7,6,9,6,4,8,3,8,3,6,1,3,9,2,9,3,9,7,9,4,7,5,1,7,7,4,5,9,7,1,1,4,6,8,1,9,1,2,5,1,3,5,9,3,3,8,7,4,3,7,6,5,4,4,8,5,5,6,5,2,2,8,1,1,6,8,1,6,3,1,8,6,1,4,6,4,3,3,1,9,4,7,5,4,5,2,1,2,2,8,3,8,1,2,9,1,4,6
0_4,-1,-1,2,3,-1,2,-1,5,8,9,5,5,7,6,2,1,2,1,4,6,6,7,3,6,8,6,9,2,6,9,2,5,1,3,1,8,4,9,8,8,9,2,9,1,8,8,7,6,9,6,5,1,2,9,1,4,8,4,8,6,4,9,4,2,4,4,1,8,3,1,7,7,8,8,2,3,9,6,2,8,4,2,7,9,3,8,9,7,9,6,1,1,5,7,1,5,3,3,5,8,2,7,5,7,9,7,3,8,5,1,2,7,5,1,1,3,8,7,7,8,8,1,5,2,5,6,1,7,5,5,2,8,1,2,3,9,8,9,1,1,1,3,7,9,4,8,4,4,6,6,5,9,3,9,6,8,6,5,5,8,9,9,6,7,7,4,7,1,6,7,6,5,4,1,6,2,6,2,2,9,8,4,6,3,7,4,9,5,9,1,9,5,1,6,6,3,5,9,9,5,2,9,9,9,4,4,3,6,8,6,9,8,1,3,8,4,6,2,6,2,2,3
0_5,-1,-1,5,4,2,-1,-1,2,3,9,2,8,9,3,7,6,2,7,3,6,7,2,6,9,5,7,6,7,1,3,6,7,3,2,5,9,9,4,8,3,2,2,2,7,4,7,6,5,3,8,9,9,1,8,9,9,8,5,7,7,9,4,8,9,5,3,4,1,5,9,1,5,3,7,3,3,3,8,7,7,1,3,2,5,7,4,9,8,6,1,3,2,1,6,8,4,5,5,8,2,8,8,9,6,7,2,1,1,1,3,4,2,7,5,1,9,9,7,5,6,6,8,8,4,6,6,5,1,6,7,8,1,9,1,8,9,9,5,1,4,7,9,4,5,5,5,2,4,9,9,4,3,2,5,8,7,9,1,2,2,4,8,9,5,7,3,7,1,1,3,1,6,1,5,8,8,2,9,7,6,2,6,5,3,7,2,2,8,6,5,2,6,8,9,3,5,8,3,9,3,2,9,8,2,4,6,9,2,4,2,3,8,6,9,6,4,3,6,5,9,2,1
0_6,-1,-1,-1,-1,9,9,-1,5,1,5,3,8,5,5,6,7,4,8,1,5,5,6,9,6,7,2,5,6,4,7,9,8,5,8,9,2,5,6,6,4,9,4,6,4,5,7,2,8,7,6,3,4,6,9,4,2,7,8,9,2,8,4,8,5,2,2,9,3,1,9,6,6,4,1,2,8,5,5,5,5,6,7,9,5,5,8,8,5,6,8,5,6,2,5,1,2,4,3,1,8,3,1,2,9,2,2,6,7,7,9,2,6,6,7,1,4,8,3,1,8,8,7,8,1,7,1,3,7,9,9,7,4,3,4,2,5,1,9,3,7,8,8,9,1,3,2,7,4,7,8,5,1,9,3,4,3,9,1,7,7,6,8,4,7,9,6,3,9,2,5,1,5,8,1,2,5,1,1,1,4,9,7,3,1,7,6,7,2,5,5,3,3,5,4,4,7,1,9,6,6,3,1,5,1,6,3,4,3,9,1,7,1,2,4,6,2,3,1,6,7,2,3
1_0,7,7,8,1,6,5,8,-1,-1,-1,-1,-1,5,7,7,9,7,1,3,1,1,9,5,1,2,1,9,6,3,9,1,6,1,9,6,7,5,5,3,5,1,9,2,8,5,2,1,6,2,9,2,7,1,1,3,1,8,3,8,6,5,1,8,9,2,4,3,3,6,8,2,6,4,6,7,4,7,8,6,7,6,8,6,4,4,5,1,2,4,4,4,9,9,4,9,5,1,7,9,7,4,9,3,9,9,9,3,6,7,6,9,6,9,3,1,3,1,3,1,9,1,5,5,4,6,3,5,1,6,6,8,8,2,3,9,8,9,2,4,3,9,8,2,7,1,9,5,7,7,2,4,1,8,2,8,2,6,6,7,8,8,9,5,6,9,7,9,6,9,9,5,6,3,2,2,8,8,1,7,4,3,2,2,1,8,8,1,4,7,5,9,2,5,6,5,3,7,4,3,3,4,1,1,7,5,4,1,1,9,9,3,5,5,9,6,9,3,7,7,1,2,6
1_1,4,4,5,2,3,5,9,2,-1,4,-1,-1,1,8,9,3,2,7,9,3,9,2,8,5,5,3,5,8,4,5,8,1,5,5,9,8,9,6,7,3,9,9,9,1,1,2,1,6,9,4,1,5,3,2,9,5,2,7,2,3,4,1,5,6,4,9,8,9,9,3,6,4,8,7,4,6,6,5,4,3,2,7,1,1,7,4,9,4,4,8,5,9,7,7,8,3,6,5,1,6,7,7,9,6,3,4,8,4,6,2,2,1,5,4,4,5,4,6,9,2,4,1,7,5,8,7,6,7,1,8,8,2,1,3,7,7,8,5,4,4,6,2,1,2,3,6,5,3,7,5,2,1,8,9,3,9,6,4,3,3,7,9,2,5,2,4,8,4,1,8,4,1,9,4,8,5,2,7,5,4,7,7,5,3,8,4,2,1,7,2,6,5,7,4,2,8,8,9,1,1,3,7,2,6,2,8,4,4,3,5,6,5,7,9,1,7,8,7,6,5,8,4
1_2,7,4,8,9,5,9,3,7,7,-1,-1,-1,6,8,9,3,3,1,9,2,8,6,8,6,7,3,8,8,5,4,4,6,6,7,2,3,1,3,6,3,1,4,9,4,2,1,7,5,7,5,2,4,7,3,9,9,3,4,3,2,2,6,7,2,8,7,3,3,7,9,6,7,6,3,9,6,9,9,1,1,5,5,6,3,8,7,2,8,3,1,7,8,4,4,7,2,2,6,2,2,4,7,6,3,2,4,3,2,1,1,6,5,4,9,3,1,5,9,4,8,6,2,4,1,5,2,4,5,9,9,6,1,4,6,9,1,6,6,9,3,1,8,8,1,4,2,1,9,1,7,3,2,4,5,6,2,7,2,4,9,3,7,1,5,5,1,4,4,7,8,7,8,2,7,9,3,6,1,3,6,4,1,6,3,4,4,1,7,7,2,7,6,7,3,1,2,9,1,5,9,3,8,9,1,7,5,1,6,8,2,3,1,9,6,7,7,4,3,5,2,9,7
